scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,byte,hashed,Done,4788,1201,6384,3,6,278,1,11
scrambling,bit,hashed,Done,11880,1201,1980,2,53,957,2,24
scrambling,byte,linked,Done,4828,1201,6440,1,1,43,1,11
scrambling,bit,linked,Done,11232,1201,1872,2,1,174,1,23
scrambling,byte,array,Done,4824,1201,6432,1,1,74,0,12
scrambling,bit,array,Done,11448,1201,1908,1,1,263,1,25
scrambling,byte,hashed,Done,4884,1251,6512,1,1,245,1,10
scrambling,bit,hashed,Done,11752,1251,1960,3,1,967,2,24
scrambling,byte,linked,Done,4896,1251,6528,0,1,44,0,11
scrambling,bit,linked,Done,11664,1251,1944,2,0,195,1,24
scrambling,byte,array,Done,4899,1251,6532,1,1,70,1,11
scrambling,bit,array,Done,11880,1251,1980,2,0,280,1,26
scrambling,byte,hashed,Done,5041,1301,6724,1,1,273,1,11
scrambling,bit,hashed,Done,12096,1301,2016,3,1,1006,2,24
scrambling,byte,linked,Done,5037,1301,6716,3,3,86,0,11
scrambling,bit,linked,Done,12320,1301,2056,2,1,215,1,26
scrambling,byte,array,Done,5032,1301,6712,3,2,107,1,11
scrambling,bit,array,Done,12208,1301,2036,1,1,284,2,26
scrambling,byte,hashed,Done,5100,1351,6800,3,5,297,1,11
scrambling,bit,hashed,Done,13320,1351,2220,3,1,1141,2,27
scrambling,byte,linked,Done,5106,1351,6808,1,1,47,1,11
scrambling,bit,linked,Done,12880,1351,2148,2,0,221,1,28
scrambling,byte,array,Done,5112,1351,6816,3,3,116,1,12
scrambling,bit,array,Done,12768,1351,2128,1,1,316,1,26
scrambling,byte,hashed,Done,2976,1401,3968,3,1,132,0,8
scrambling,bit,hashed,Done,12880,1401,2148,3,1,1090,110,60
scrambling,byte,linked,Done,3024,1401,4032,3,2,54,0,9
scrambling,bit,linked,Done,13328,1401,2224,1,1,234,1,28
scrambling,byte,array,Done,3024,1401,4032,8,0,39,0,8
scrambling,bit,array,Done,13104,1401,2184,1,1,325,2,26
scrambling,byte,hashed,Done,3132,1451,4176,1,0,129,0,8
scrambling,bit,hashed,Done,13456,1451,2244,3,1,1180,2,28
scrambling,byte,linked,Done,3135,1451,4180,1,1,26,0,7
scrambling,bit,linked,Done,13456,1451,2244,1,1,239,1,29
scrambling,byte,array,Done,3132,1451,4176,2,2,67,0,8
scrambling,bit,array,Done,13688,1451,2284,2,0,343,1,31
scrambling,byte,hashed,Done,3190,1501,4256,2,3,171,0,8
scrambling,bit,hashed,Done,14040,1501,2340,3,1,1266,2,28
scrambling,byte,linked,Done,3190,1501,4256,0,1,27,1,8
scrambling,bit,linked,Done,13920,1501,2320,1,1,252,1,29
scrambling,byte,array,Done,3180,1501,4240,1,20,37,1,7
scrambling,bit,array,Done,14136,1501,2356,2,0,375,2,32
scrambling,byte,hashed,Done,3248,1551,4332,1,1,141,1,7
scrambling,bit,hashed,Done,14160,1551,2360,3,2,1297,2,29
scrambling,byte,linked,Done,3245,1551,4328,1,0,25,0,9
scrambling,bit,linked,Done,14160,1551,2360,1,1,262,1,30
scrambling,byte,array,Done,3233,1551,4312,0,1,39,0,8
scrambling,bit,array,Done,14616,1551,2436,2,0,392,2,29
scrambling,byte,hashed,Done,3363,1601,4484,1,1,148,1,7
scrambling,bit,hashed,Done,14640,1601,2440,3,1,1348,2,30
scrambling,byte,linked,Done,3360,1601,4480,2,2,27,0,9
scrambling,bit,linked,Done,15376,1601,2564,2,1,308,1,34
scrambling,byte,array,Done,3355,1601,4476,0,1,46,1,8
scrambling,bit,array,Done,16000,1601,2668,1,1,448,1,33
scrambling,byte,hashed,Done,3402,1651,4536,0,1,172,1,7
scrambling,bit,hashed,Done,15624,1651,2604,3,1,1530,88,33
scrambling,byte,linked,Done,3416,1651,4556,0,1,29,0,8
scrambling,bit,linked,Done,15104,1651,2520,2,0,299,1,33
scrambling,byte,array,Done,3420,1651,4560,1,1,75,1,8
scrambling,bit,array,Done,15616,1651,2604,2,0,450,2,32
